1853	2.865
1855	2.543
1856	2.465
1857	2.67
1858	2.83
1859	2.547
1860	2.242
1861	2.288
1862	2.387
1863	2.306
1864	2.454
1865	2.258
1866	2.311
1867	2.377
1868	2.17
1869	1.876
1870	1.915
1871	1.987
1872	2.025
1873	2.178
1874	2.086
1875	2.135
1876	2.23
1877	2.094
1878	2.204
1879	2.11
1880	2.094
1881	2.097
1882	2.042
1883	1.838
1884	2.035
1885	1.985
1886	1.862
1887	1.758
1888	1.736
1889	2.007
1890	1.986
1891	2.12
1892	2.015
1893	2.002
1894	1.939
1895	2.294
1896	2.058
1897	2.029
1898	1.992
1899	1.948
1900	1.974
1901	1.87
1902	1.942
1903	1.897
1904	1.921
1905	1.949
1906	1.931
1907	1.969
1908	1.934
1909	1.899
1910	1.762
1911	1.909
1912	1.842
1913	1.836
1914	1.887
1915	1.966
1916	1.782
1917	1.822
1918	1.882
1919	1.743
1920	1.885
1921	1.838
1922	1.866
1923	1.833
1924	1.745
1925	1.716
1926	1.827
1927	1.736
1928	1.622
1929	1.688
1930	1.781
1931	1.653
1932	1.584
1933	1.492
1934	1.506
1935	1.473
1936	1.482
1937	1.322
1938	1.306
1939	1.289
1940	1.378
1941	1.432
1942	1.608
1943	1.678
1944	1.584
1945	1.713
1946	1.624
1947	1.757
1948	1.87
1949	1.794
1950	1.829
1951	1.866
1952	1.787
1953	1.899
1954	1.871
1955	2.001
1956	2
1957	2.005
1958	2.016
1959	2.046
1960	2.055
1961	1.877
1962	1.944
1963	1.939
1964	1.943
1965	1.785
1966	1.75
1967	1.606
1968	1.458
1969	1.483
1970	1.359
1971	1.406
1972	1.509
1973	1.411
1974	1.288
1975	1.289
1976	1.211
1977	1.133
1978	1.15
1979	1.216
1980	1.209
1981	1.115
1982	1.086
1983	1.109
1984	1.011
1985	0.979
1986	0.942
1987	0.977
1988	1.082
1989	1.099
1990	1.128
1991	1.053
1992	1.072
1993	1.102
1994	1.038
1995	0.996
1996	1.035
1997	0.984
1998	1.004
1999	1.007
2000	1.02
2001	0.951
2002	0.947
2003	0.979
2004	0.987
2005	1.005
2006	1.013
2007	1.012
2008	1.048
2009	1.088
2010	1.069
2011	0.973
2012	0.995
2013	0.982

